지하철역코드,지하철역명,시군구명,위도,경도
1,압구정역,강남구,37.52645630674276,127.02879828727367
2,학여울역,강남구,37.49648060445571,127.07085555801159
3,삼성중앙역,강남구,37.51313085910393,127.05363671780682
4,구룡역,강남구,37.486751009470055,127.05976177332977
5,대모산입구역,강남구,37.49157477585504,127.07323337475067
6,한티역,강남구,37.496352591819075,127.05313168598835
7,신사역,강남구,37.51651630281475,127.02051749096623
8,대청역,강남구,37.49405159550611,127.0791739283744
9,압구정로데오역,강남구,37.528029698971565,127.04077896895393
10,수서역,강남구,37.48728809788657,127.10169494325598
11,강남구청역,강남구,37.51721695632317,127.04126963827999
12,학동역,강남구,37.51389301558195,127.03112538605993
13,선릉역,강남구,37.50464643153688,127.04920627041982
14,언주역,강남구,37.507300921296405,127.0338952243552
15,논현역,강남구,37.51133061451594,127.02163708917021
16,봉은사역,강남구,37.51422708556162,127.06021670400304
17,도곡역,강남구,37.490728411095084,127.05568242908524
18,청담역,강남구,37.5190237920898,127.05127771830456
19,일원역,강남구,37.48415492101992,127.0838412402037
20,선정릉역,강남구,37.510271982894245,127.04366147841344
21,매봉역,강남구,37.486814170545266,127.04593830256536
22,역삼역,강남구,37.500428482420276,127.03590483928247
23,대치역,강남구,37.49396072181887,127.06240348134602
24,신논현역,서초구,37.50442287334148,127.0241732234991
25,삼성(무역센터)역,강남구,37.50895307023809,127.0632213014762
26,개포동역,강남구,37.48927838332698,127.06614287641952
27,암사역,강동구,37.55012621439297,127.12735700818776
28,길동역,강동구,37.53782062327283,127.13978304015922
29,고덕역,강동구,37.554984356823084,127.1538171871996
30,강동역,강동구,37.53609727695621,127.13234865633973
31,강일역,강동구,37.557375288933265,127.17558155190386
32,굽은다리(강동구민회관앞)역,강동구,37.545800531295995,127.14283743789058
33,강동구청역,송파구,37.53032246263641,127.12023524093304
34,명일역,강동구,37.55130403047023,127.14416312041527
35,둔촌동역,강동구,37.527920277421906,127.13596286453593
36,천호(풍납토성)역,강동구,37.53811502961933,127.12448671755027
37,둔촌오륜역,송파구,37.51936809774019,127.13784079519112
37,둔촌오륜역,강동구,37.519775129452434,127.13820384530973
38,상일동역,강동구,37.556847044556825,127.16700709706176
39,중앙보훈병원역,강동구,37.52867722577762,127.14846068356508
40,삼양사거리역,강북구,37.62127755207087,127.02063512227141
41,미아(서울사이버대학)역,강북구,37.62737617229928,127.02597077208515
42,솔밭공원역,강북구,37.656106730053516,127.01311048235165
42,솔밭공원역,도봉구,37.65581051397255,127.01346572680153
43,미아사거리역,강북구,37.61399749665199,127.03024655194893
44,삼양역,강북구,37.626715649863726,127.01823299449664
45,북한산우이역,강북구,37.6630423334514,127.01264580861351
46,솔샘역,강북구,37.62020426331758,127.0133870440046
47,4.19민주묘지역,강북구,37.649580712891975,127.01369668483262
48,수유(강북구청)역,강북구,37.63823406870083,127.02611923318311
49,가오리역,강북구,37.641530460009065,127.01676008274266
50,화계역,강북구,37.633994193199044,127.01750110555136
51,마곡역,강서구,37.55986582469384,126.82620310783905
52,가양역,강서구,37.561059211764416,126.8551392041148
53,개화산역,강서구,37.5721192384128,126.80632824857562
54,송정역,강서구,37.56127649339362,126.81171546452973
55,신방화역,강서구,37.567578740235575,126.81662611885304
56,양천향교역,강서구,37.56813068964411,126.84128062542766
57,발산역,강서구,37.55836989351303,126.83820629379368
58,개화역,강서구,37.57853611422455,126.7980002435432
59,증미역,강서구,37.55795543203569,126.86124228864674
60,마곡나루역,강서구,37.56583686400514,126.8273815552368
61,까치산역,강서구,37.53178100495218,126.84655294257189
62,우장산역,강서구,37.54882403924785,126.8365222103371
63,화곡역,강서구,37.54194609878696,126.84057815452091
64,공항시장역,강서구,37.563964032244975,126.81078872436966
65,방화역,강서구,37.57709451960146,126.8130259710605
66,김포공항역,강서구,37.56202114212759,126.802569596774
67,서울대입구(관악구청)역,관악구,37.48126975960335,126.95278529112817
68,봉천역,관악구,37.48283944000596,126.94111397425712
69,신대방역,관악구,37.487119386747814,126.91332432047685
70,낙성대역,관악구,37.477366288402656,126.96335117599381
71,신림역,관악구,37.484319928878065,126.92975985018225
72,뚝섬유원지역,광진구,37.53183612794797,127.06716072599079
73,아차산(어린이대공원후문)역,광진구,37.55180047085091,127.08944554425713
75,중곡역,광진구,37.566106449121094,127.08472991711405
76,광나루(장신대)역,광진구,37.545161513115765,127.1040171719911
77,어린이대공원(세종대)역,광진구,37.5481851613616,127.07478779079727
78,구의(광진구청)역,광진구,37.537359662532594,127.08651759531142
79,건대입구역,광진구,37.54065910963556,127.0696415597521
80,군자(능동)역,광진구,37.556934474091946,127.07976872745276
81,신도림역,구로구,37.508555315909,126.89122898911323
83,오류동역,구로구,37.494422444164705,126.84432435803524
84,구로역,구로구,37.50242662045135,126.88136055154649
85,개봉역,구로구,37.494520956252394,126.85911494891653
87,온수(성공회대입구)역,구로구,37.49234545420575,126.82411494710904
89,구로디지털단지역,구로구,37.48505751518334,126.90149541746271
90,천왕역,구로구,37.486712180979524,126.83879895539022
91,금천구청역,금천구,37.462763856279985,126.89086940526208
92,가산디지털단지역,금천구,37.481130156879466,126.88233218774405
95,태릉입구역,노원구,37.617929168793715,127.07512966971228
96,월계역,노원구,37.63195944024424,127.05872948619533
97,중계역,노원구,37.645365906314794,127.06374439445429
98,마들역,노원구,37.6648030404302,127.05788631709227
99,공릉(서울과학기술대)역,노원구,37.62557469923346,127.07329283381253
100,화랑대(서울여대입구)역,노원구,37.62005980271722,127.08398481310152
101,광운대역,노원구,37.622928786219454,127.0617854381453
102,노원역,노원구,37.655812595354526,127.06218852394072
104,하계역,노원구,37.63724675860568,127.06772623854414
105,수락산역,노원구,37.67892116943489,127.05556486620107
106,도봉역,도봉구,37.67911620200704,127.04549029215724
107,녹천역,도봉구,37.645830712916165,127.05087759825527
108,도봉산역,도봉구,37.68929924117382,127.04623767796916
109,창동역,도봉구,37.65327765604755,127.0480416391113
110,방학역,도봉구,37.66779689973606,127.0442742815382
111,쌍문역,도봉구,37.648604930017555,127.03491226633054
112,신이문역,동대문구,37.60284688905253,127.06788428875329
113,고려대(종암)역,동대문구,37.59008389567485,127.0365943725265
113,고려대(종암)역,성북구,37.589903701881,127.03599628981162
