기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20251,11560550,당산1동,7181436,3444460,3736976,659819,1259106,1674882,1221036,1044415,1322177,1608311,1492760,1017837,1007236,1222739,832554,1035681,1037591,1033892,1047780,1069003,1002578,954914
20251,11560540,여의동,6401052,3264867,3136186,750346,883334,1401639,1400867,961587,1003283,1125040,1448802,1096207,1083758,1065501,581741,970754,1003480,986737,1019327,1011686,719623,689446
20251,11560535,영등포동,10540190,5247545,5292645,786880,2316968,2563226,1678809,1416049,1778260,2112717,2104994,1551618,1624009,1959701,1187148,1466239,1462411,1472307,1495814,1560723,1593549,1489146
20251,11560515,영등포본동,6704901,3306482,3398417,808119,998396,1156629,1078070,1044294,1619393,1871574,1397386,729262,723314,1075827,907539,943173,934723,945477,934728,936868,988428,1021503
20251,11545710,시흥5동,3443204,1642907,1800298,498611,382668,453099,536938,616121,955766,957504,684048,369054,379358,577069,476172,486673,485603,490376,484692,481467,504338,510055
20251,11545700,시흥4동,2181361,1035350,1146011,341694,219691,298701,329888,367167,624219,689970,462940,216173,207379,309187,295713,306997,306289,307575,301933,297330,321565,339674
20251,11545690,시흥3동,1166393,580531,585862,170028,119908,175637,182083,198347,320392,340635,257773,123689,116673,169736,157887,167584,167620,169162,166996,164954,163811,166268
20251,11545680,시흥2동,1622656,742484,880172,373829,136219,189707,253451,243803,425648,469015,335866,166555,170930,257242,223047,228693,229255,229703,227508,224592,236489,246417
20251,11545670,시흥1동,5468550,2662803,2805746,735601,698334,915253,848169,937485,1333708,1430820,1075299,644622,652788,937765,727256,777490,775260,777259,773711,780155,792359,792313
20251,11545640,독산4동,3919114,1892436,2026679,387266,489845,655735,594886,731881,1059502,1150871,797626,409336,402073,614347,544863,556278,549118,556487,543837,543475,572501,597416
20251,11545630,독산3동,4275186,2117549,2157636,395984,627463,755568,662344,731564,1102263,1169845,882058,479174,478191,695761,570159,605052,598232,604431,595940,593147,627333,651051
20251,11545620,독산2동,3225001,1553745,1671256,335817,396086,535748,509430,588393,859528,941308,662811,337378,336975,506831,439696,454169,449002,453739,447135,441756,476275,502925
20251,11545610,독산1동,5431887,2784314,2647573,647896,922235,1153960,900389,772434,1034974,1443479,1158666,628655,622725,871011,707350,775602,772209,774283,772606,773971,776508,786707
20251,11545510,가산동,4896397,2681150,2215247,259720,1126641,1276949,868551,674075,690460,1148397,1070958,679622,663268,772227,561925,734167,738211,728906,742653,733101,604634,614724
20251,11530800,항동,938443,456108,482334,241184,67117,163819,198372,104256,163697,277849,193964,96960,96228,142162,131280,135008,133084,133277,131907,133944,134056,137166
20251,11530790,수궁동,1889667,866058,1023609,338622,204875,254319,309061,304409,478382,502186,400010,210514,208606,315183,253168,264150,264100,268202,262337,262737,269038,299104
20251,11530780,오류2동,5066575,2320944,2745631,1013147,590432,735015,795448,715772,1216762,1492463,1063743,526707,517801,781158,684701,716521,711366,715521,715538,709234,740166,758233
20251,11530770,오류1동,3808676,1783405,2025271,512238,604113,680764,565636,562534,883390,1051104,761751,407098,415457,640392,532875,532685,527034,535314,525250,525918,574658,587818
20251,11530760,개봉3동,4635709,2179775,2455934,793563,462157,674285,814153,738855,1152696,1152016,888208,540326,572555,845925,636682,655911,649388,652301,642392,650810,684208,700700
20251,11530750,개봉2동,3929062,1807700,2121362,578272,444056,621217,623287,611693,1050536,1122014,795025,402653,410987,652500,545883,550016,545433,549544,540664,537192,595022,611195
20251,11530740,개봉1동,7529512,3576468,3953042,1125650,818741,1130561,1142787,1228583,2083188,2085731,1535846,832854,828992,1233913,1012174,1062234,1053421,1049623,1045127,1047353,1120681,1151069
20251,11530730,고척2동,5327769,2519120,2808650,1075068,531198,645322,809473,866929,1399782,1600708,1111072,556718,538134,799851,721289,754690,751018,750481,743887,743266,781197,803231
20251,11530720,고척1동,4727357,2235304,2492054,830412,603458,706889,707521,759603,1119475,1294537,968726,541785,532997,766017,623295,662567,661163,661098,662246,662145,705457,712682
20251,11530595,가리봉동,3104079,1719620,1384459,138236,578340,664084,592655,542716,588049,766027,661635,400486,394420,507191,374320,448571,450470,449225,450190,446057,416961,442604
20251,11530560,구로5동,7152402,3443233,3709169,867142,1093823,1341846,1155764,1135569,1558259,1728448,1477089,896834,899408,1247858,902764,1009575,1003702,1009509,1009925,1015222,1052198,1052272
20251,11530550,구로4동,7435737,3673723,3762017,693028,771951,1209967,1335164,1400974,2024653,1813556,1483035,900613,948504,1338525,951507,1066243,1065532,1064357,1059017,1057963,1049498,1073128
20251,11530540,구로3동,7010157,3570726,3439433,721640,1061612,1485298,1366979,1058899,1315730,1651749,1506267,926712,916884,1177085,831462,1046316,1055235,1046225,1056948,1053629,879004,872802
20251,11530530,구로2동,9386358,4558182,4828177,884463,1029049,1513868,1624157,1835726,2499094,2468099,1994217,1128334,1111395,1497121,1187191,1347485,1341506,1344126,1335614,1323990,1317384,1376251
20251,11530520,구로1동,1893061,912104,980956,427889,189219,326011,324714,263006,362222,532338,412372,210500,204005,287893,245952,271105,271769,270460,270617,270445,265978,272686
20251,11530510,신도림동,6277595,2886687,3390908,1375311,702818,1080486,1161908,847413,1109659,1574359,1286138,770540,778962,1067622,799971,880724,873138,879681,878754,882664,938636,943997
20251,11500641,방화3동,2410780,1142767,1268012,374725,220479,389727,411965,362601,651282,722201,504911,251730,246976,358365,326597,341024,338814,340757,336326,336133,353437,364289
20251,11500640,방화2동,4694543,2271564,2422979,511711,639120,898574,752243,681534,1211360,1287289,987120,547434,536557,739314,596829,662707,658497,661461,660472,657023,687953,706429
20251,11500630,방화1동,7292825,3429433,3863393,1364580,711791,1165178,1197566,1045037,1808674,1973431,1499439,835534,830108,1189344,964972,1037248,1031811,1033465,1028696,1036507,1059055,1066042
20251,11500620,공항동,5402089,2716086,2686003,1215599,635631,859030,968921,685882,1037028,1593186,1133847,596010,573420,798366,707260,775455,774224,773131,774264,770249,765255,769509
20251,11500615,우장산동,6951637,3198042,3753594,1418911,921009,1023146,1211917,968990,1407663,1776677,1442181,812533,818859,1187928,913459,990414,984592,982897,984986,990764,1010942,1007041
20251,11500611,발산1동,5406242,2418335,2987907,1423235,613573,648027,935511,784690,1001206,1487268,1173923,634019,608502,811707,690821,782432,778941,774723,780342,780171,751895,757736
